Date,Supplier,Description,Transaction value
21/04/2016,M & J BALLANTYNE LTD,George IV Bridge Work,35098.05
26/04/2016,PRIVATE SALE,Literary & Archival Items,30000
30/04/2016,CITY OF EDINBURGH COUNCIL,Non Domestic Rates ,40800.17
09/05/2016,COMPUTACENTER UK,Kelvin Hall,72835
09/05/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,64361
09/05/2016,A MCGILLIVRAY,Causewayside Refurbishment,53690
16/05/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,365344
23/05/2016,COMPUTACENTER UK,Kelvin Hall,26506
23/05/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32777
23/05/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32777
30/05/2016,ALDL,ALDL Charges,32317
10/06/2016,WAVETEK LTD,Kelvin Hall,87589
10/06/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,381803
28/06/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32832
30/06/2016,GLASGOW CITY COUNCIL,Kelvin Hall,1700000
11/07/2016,WAVETEK LTD,Kelvin Hall,65692
11/07/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,139845
15/07/2016,SOTHEBY'S,Literary & Archival Items,28500
18/07/2016,CHRISTIES,Literary & Archival Items,33800
25/07/2016,A MCGILLIVRAY,Causewayside Refurbishment,30113
31/07/2016,ALDL,ALDL Charges,32317
08/08/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32795
15/08/2016,CREATIVE VIDEO PRODUCTIONS LTD,Kelvin Hall,26866
15/08/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,196807
24/08/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32795
05/09/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,36359
12/09/2016,FLEXIFORM,Kelvin Hall,42623
12/09/2016,CITY OF EDINBURGH COUNCIL,Non Domestic Rates ,144330
12/09/2016,CITY OF EDINBURGH COUNCIL,Non Domestic Rates ,49827
12/09/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,228689
19/09/2016,JISC SERVICES LTD SUBSCRIPTION ACCOUNT,Literary & Archival Items,42629
26/09/2016,SENATOR INTERNATIONAL,Kelvin Hall,35706
26/09/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32795
26/09/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,28378
30/09/2016,A MCGILLIVRAY,Causewayside Refurbishment,44392
10/10/2016,CENGAGE LEARNING (EMEA )LTD,Literary & Archival Items,86604
10/10/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,303999
24/10/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32795
24/10/2016,ALDL,ALDL Charges,32317
31/10/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,74245
07/11/2016,CBRE,Kelvin Hall,83736
14/11/2016,UNIVERSITY OF GLASGOW,Kelvin Hall,188682
14/11/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,362326
08/12/2016,SOTHEBYS,Literary & Archival Items,166000
08/12/2016,PRIVATE SALE,Literary & Archival Items,87500
08/12/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32795
12/12/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,385310
30/12/2016,ECG FACILITIES SERVICE,Facilities Management Charge,32795
30/12/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,253618
30/12/2016,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,45127
23/01/2017,ALDL,ALDL Charges,27730
07/02/2017,ECG FACILITIES SERVICE,Facilities Management Charge,32795
07/02/2017,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,52404
13/02/2017,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,272390
27/02/2017,CENGAGE LEARNING (EMEA )LTD,Literary & Archival Items,43302
27/02/2017,ECG FACILITIES SERVICE,Facilities Management Charge,32795
06/03/2017,PRIVATE SALE,Literary & Archival Items,72500
06/03/2017,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,31781
06/03/2017,JOHN GRAHAM CONSTRUCTION LTD,Causewayside Refurbishment,198048
27/03/2017,ECG FACILITIES SERVICE,Facilities Management Charge,32795
31/03/2017,NLS FOUNDATION,Grant Payment,177500
31/03/2017,PRIVATE SALE,Literary & Archival Items,3422500
31/03/2017,NICHOLSON BROS(ELECTRICAL CONTRACTORS) LTD,Causewayside Refurbishment,33666
